SCODE,Year,FEM_NUM,FEM_RTO,BOARDSIZE,IDOUT_RTO,IDOUT_NUM,AGE_AVERAGE,BRD_AGEMAX_B,BRD_AGEMIN_B,NKILM,ROA,ASS_ROA,ASS,DASS,FRAUD
6573,2019,0,0,4,25,1,44,47,41,71,-15.36458,768,719,26.7,1
7597,2017,1,11.1,6,0,0,56,73,33,43,1.20199,6822,6944,52.2,1
6050,2019,0,0,7,42.9,3,50,60,42,71,26.55502,4598,5642,23.3,1
6181,2017,1,11.1,6,33.3,2,46,53,35,71,14.36147,2263,2811,69.7,1
1663,2017,0,0,10,20,2,63,82,55,37,3.87851,89622,91644,18.2,0
1663,2018,0,0,10,20,2,63,83,56,37,3.55288,91644,92033,17.2,0
1928,2018,2,11.8,11,27.3,3,65,77,53,41,8.069,2419012,2413053,50.4,0
1928,2019,2,11.8,11,27.3,3,66,78,54,41,8.86456,2413035,2634748,50.4,0
3382,2018,2,11.8,12,33.3,4,64,76,55,45,7.39812,5494950,5795302,53.9,0
5444,2018,0,0,11,9.1,1,62,73,45,17,8.57272,367083,384068,13.1,0
1928,2017,0,0,11,18.2,2,66,76,52,41,9.3221,2184895,2419012,50.1,0
5444,2019,0,0,13,15.4,2,62,74,46,17,6.02107,384068,383025,10.6,0
5103,2017,0,0,9,11.1,1,61,76,45,13,-5.91147,67885,49601,61.9,0
7836,2017,0,0,3,0,0,53,63,43,33,2.47104,1295,1348,59.7,0
7777,2017,0,0,4,25,1,49,63,43,31,-51.62138,3423,3135,29.8,0
9973,2017,0,0,6,33.3,2,47,60,41,43,-17.81095,2010,1526,82.6,0
3659,2019,0,0,7,28.6,2,52,72,42,71,18.76437,649998,719088,12.2,0
4661,2018,1,7.1,10,20,2,67,83,59,71,14.21355,910673,1051455,23.6,0
4661,2017,1,7.1,10,20,2,66,82,58,71,13.13959,849798,915564,21.1,0
9973,2017,0,0,6,33.3,2,47,60,41,43,-17.81095,2010,1526,82.6,0
7744,2017,0,0,6,50,3,50,66,34,31,4.41496,116309,148618,48.4,0
1400,2017,0,0,4,25,1,61,71,54,41,-1.88172,2232,2408,15.6,0
5413,2017,1,7.1,10,20,2,61,67,57,17,2.67165,706418,716693,65.4,0
1808,2018,1,5.6,13,38.5,5,64,70,44,41,14.59475,687706,773219,52.4,0
7744,2019,1,16.7,6,66.7,4,51,68,36,31,0.1429,149755,160308,47.7,0
9438,2019,2,18.2,7,42.9,3,58,74,46,65,8.73394,27479,30547,29.6,0
8462,2018,0,0,7,57.1,4,57,71,38,52,-3.87717,3224,3021,6.7,0
9438,2017,2,16.7,8,37.5,3,56,71,44,65,11.71695,23897,23896,21.3,0
7749,2017,0,0,10,10,1,63,82,47,31,8.74515,42252,44280,13.8,0
9104,2017,1,7.7,9,33.3,3,63,72,58,59,1.41928,2217528,2225636,71.8,0
7192,2019,1,12.5,8,37.5,3,60,67,54,52,9.97109,14873,18285,74,0
7244,2018,0,0,10,20,2,55,64,44,27,9.3955,103177,102416,60.9,0
6923,2018,0,0,10,20,2,60,71,54,23,12.33895,494491,509564,19.7,0
3444,2017,0,0,8,12.5,1,59,88,43,19,-1.11,10000,9452,25.1,0
6586,2017,0,0,13,15.4,2,63,76,42,23,13.34083,597249,651031,14.6,0
5711,2018,1,7.1,9,33.3,3,62,69,57,19,2.52001,2011067,1938270,62.7,0
